id,price,dimension,address,inserted_at
214," 1100",4,"Avenida Bela Vista, 207 - Chácaras Bela Vista, Aparecida de Goiânia - GO",2024-09-05 19:52:19.667269
215," 1380",4,"Avenida Bela Vista, 985 - Jardim Bela Vista - Continuação, Aparecida de Goiânia - GO",2024-09-05 19:52:19.950024
216,,2,,2024-09-05 19:52:20.154552
217,,56,,2024-09-05 19:52:20.362747
218,,2,,2024-09-05 19:52:20.621852
219,,1,,2024-09-05 19:52:20.906055
220,,1,,2024-09-05 19:52:21.201355
221," 950",53,"Rua Belmiro Bento, 1 - Setor Residencial Garavelo I, Trindade - GO",2024-09-05 19:52:21.490042
222," 150000",2,"Jardins Berlim, Senador Canedo - GO",2024-09-05 19:52:21.727459
223," 650",2,"Vista Alegre - 1ª Seção, Ibirité - MG",2024-09-05 19:52:21.914268
224,,1,,2024-09-05 19:52:22.135645
225,,,,2024-09-05 19:52:22.396538
226,,,,2024-09-05 19:52:22.612248
227,,,,2024-09-05 19:52:22.842477
228," 290000",330,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:54:31.397704
229," 299000",367,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:54:31.625296
230," 120000",275,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:54:31.826763
231," 910000",460,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:54:32.055441
232," 260000",275,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:54:32.285758
233," 340000",344,"Cidade Alpha, Eusébio - CE",2024-09-05 19:54:32.520568
234," 11300000",56664,"Encantada, Eusébio - CE",2024-09-05 19:54:32.770438
235," 125951",150,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:54:33.000152
236," 680000",500,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:54:33.315768
237," 119343",150,"Coité, Eusébio - CE",2024-09-05 19:54:33.540499
238," 199760",275,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:54:33.760914
239," 140350",212,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:54:33.992315
240," 280000",325,"Centro, Eusébio - CE",2024-09-05 19:54:34.241019
241," 450000",480,Eusébio - CE,2024-09-05 19:54:34.440354
242," 49900",150,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:54:34.644085
243," 350000",397,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:54:34.841491
244," 890000",397,"Coacu, Eusébio - CE",2024-09-05 19:54:35.120683
245," 925000",639,"Centro, Eusébio - CE",2024-09-05 19:54:35.344831
246," 285000",0,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:54:35.646533
247," 12000000",30000,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:54:35.86487
248," 6500000",9600,"Guaribas, Eusébio - CE",2024-09-05 19:54:36.103321
249," 254549",317,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:54:36.309759
250," 180000",200,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:54:36.582394
251," 315000",363,"Cidade Alpha, Eusébio - CE",2024-09-05 19:54:36.786402
252," 320000",330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:54:36.996809
253," 125000",150,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:54:37.191461
254," 120000",165,"Coité, Eusébio - CE",2024-09-05 19:54:37.495783
255," 6000000",15000,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:54:37.718313
256," 525000",1428,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:54:37.917306
257," 215000",275,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:54:38.116644
258," 450000",450,"Cidade Alpha, Eusébio - CE",2024-09-05 19:54:38.407194
259," 215000",275,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:54:38.643321
260," 155000",233,"Jacunda, Eusébio - CE",2024-09-05 19:54:38.93339
261," 220000",315,"Eusebio, Eusébio - CE",2024-09-05 19:54:39.138429
262," 125000",150,"Tamatanduba, Eusébio - CE",2024-09-05 19:54:39.351604
263," 12000000",30000,"Estrada do Fio, 3371 - Coacu, Eusébio - CE",2024-09-05 19:54:39.573948
